|V|+|E|,gabow,kosaraju_nx,tarjan,tarjan_nx
3900,4.95,126.65,6.43,6.53
4600,5.97,144.96,7.8,9.19
4100,5.55,156.42,7.47,6.76
3700,4.79,171.3,6.08,5.76
3800,4.94,173.46,6.57,5.75
4300,5.78,166.35,8.89,8.56
4900,6.57,184.8,8.65,9.79
3500,4.78,201.07,6.33,6.88
5000,6.5,192.63,8.59,10.08
4700,6.21,196.88,8.35,8.31
4800,6.44,202.19,9.07,9.54
4200,5.61,220.72,7.6,8.28
4000,5.59,236.69,6.85,9.16
3600,5.07,272.34,6.24,6.41
3200,3.99,95.06,6.72,5.87
4400,6.2,275.91,7.77,8.19
3400,4.07,149.75,5.99,7.36
2900,3.84,110.25,5.12,5.53
2300,2.69,65.83,3.35,3.43
2500,2.86,95.07,3.53,3.56
2400,2.83,91.81,3.6,3.44
4500,6.16,314.82,8.55,8.08
2800,3.54,118.32,4.75,4.32
2200,2.82,78.42,3.22,3.12
3000,3.74,155.82,5.11,4.8
2000,2.59,57.6,3.15,3.02
3300,4.16,177.07,5.32,5.29
1600,1.88,37.2,2.35,2.26
1900,2.22,55.79,2.93,2.79
1800,2.17,42.85,2.62,2.55
2100,2.48,66.13,3.0,3.04
2700,3.14,138.32,3.95,4.02
1400,1.72,31.38,2.13,2.04
200,0.24,3.62,0.33,0.29
400,0.46,6.21,0.57,0.53
1700,2.06,49.41,2.47,2.58
100,0.11,1.31,0.15,0.14
300,0.35,8.18,0.45,0.44
500,0.56,12.12,0.7,0.69
1500,1.77,45.66,2.18,2.14
700,0.82,16.18,1.1,0.99
900,1.1,19.8,1.37,1.38
1300,1.52,41.64,1.85,1.82
800,0.92,21.29,1.19,1.16
1200,1.41,38.95,1.72,1.83
600,0.7,21.0,0.85,0.84
1000,1.21,33.66,1.55,1.46
1100,1.48,54.66,1.85,1.73
2600,3.28,207.76,4.06,3.78
3100,3.92,247.47,5.35,4.72
