|V|+|E|,gabow,kosaraju_nx,tarjan,tarjan_nx
3600,6.42,44.45,8.08,9.55
3500,6.25,43.1,8.61,10.86
3800,6.96,47.25,8.27,9.15
3900,7.08,47.63,9.15,11.29
3700,6.7,48.76,8.87,10.8
4000,7.39,50.54,10.59,11.11
4100,7.24,50.69,10.08,11.77
4200,7.53,54.02,10.79,12.56
4400,8.01,54.65,10.98,11.43
4300,7.88,56.25,10.0,13.14
4600,8.1,57.6,10.91,12.89
4500,8.54,58.5,11.14,13.54
4800,8.97,61.0,10.57,13.5
4900,8.97,61.79,11.12,12.82
4700,9.05,60.84,11.94,15.4
5000,9.04,63.41,12.21,14.66
3300,6.0,41.03,8.1,8.32
3000,5.23,37.61,6.8,8.23
2800,4.92,35.48,6.92,7.79
3200,5.47,39.7,7.99,9.41
2500,4.38,31.31,5.87,5.31
2600,4.59,32.18,6.36,6.19
2100,3.67,26.69,5.19,4.71
2900,5.05,36.49,6.74,6.69
3100,5.54,39.01,7.61,8.29
1900,3.42,23.66,4.81,4.26
3400,5.86,42.46,8.79,10.34
2400,4.27,30.09,5.81,6.06
2200,3.96,27.63,5.35,4.6
2700,5.0,33.45,6.88,6.64
2000,3.64,26.4,5.29,6.28
2300,4.2,29.9,5.89,7.23
300,0.5,3.25,0.63,0.53
400,0.68,4.29,0.84,0.76
500,0.9,5.62,1.18,1.04
600,1.07,7.09,1.34,1.12
100,0.17,1.11,0.21,0.17
700,1.19,8.15,1.52,1.29
200,0.34,2.19,0.4,0.36
800,1.44,9.44,1.8,1.47
900,1.57,10.41,1.9,1.78
1000,1.71,11.62,2.05,1.81
1100,1.89,12.76,2.29,2.05
1200,2.08,13.93,2.53,2.22
1300,2.25,15.34,2.79,2.34
1400,2.41,16.48,2.78,2.6
1500,2.65,18.47,3.1,2.76
1600,2.81,18.82,3.36,2.94
1700,2.89,19.59,3.44,3.1
1800,3.39,21.86,4.26,3.48
