|V|+|E|,gabow,tarjan,tarjan_nx
2000,2.72,3.56,3.45
2100,2.86,3.76,3.6
1900,2.61,3.39,3.27
2400,3.31,4.3,4.14
2500,3.44,4.5,4.27
2900,4.02,5.3,5.07
3100,4.36,5.71,5.39
2300,3.2,4.14,3.98
2800,3.94,5.19,4.87
3300,4.59,6.04,5.75
1600,2.41,2.86,2.78
1700,2.57,3.04,3.0
1800,2.74,3.26,3.17
4800,6.67,8.8,8.42
1300,1.97,2.31,2.27
1200,1.84,2.17,2.15
1100,1.68,1.98,1.93
2200,3.22,4.12,3.8
1500,2.3,2.71,2.66
800,1.2,1.44,1.4
100,0.15,0.19,0.18
300,0.46,0.29,0.28
200,0.3,0.37,0.34
400,0.6,0.72,0.7
3000,4.4,5.76,4.75
500,0.75,0.89,0.85
600,0.91,1.08,1.04
900,1.37,1.65,1.57
1400,2.17,1.39,1.38
700,1.06,0.7,0.7
4100,5.73,4.13,4.08
2700,3.77,2.7,2.6
1000,1.55,1.0,1.04
3200,4.56,3.26,3.13
3700,5.22,3.76,3.61
4000,5.58,4.08,3.95
3400,4.99,3.56,3.32
3600,5.13,3.68,3.57
4700,6.63,4.84,4.64
2600,3.66,2.61,2.56
3900,5.49,4.0,3.79
4300,6.01,4.23,4.13
4600,6.5,4.7,4.41
3500,5.15,3.48,3.26
3800,5.38,3.74,3.49
4400,6.26,4.09,3.95
5000,7.15,4.65,4.51
4900,7.02,4.47,4.32
4200,6.0,3.87,3.72
4500,6.71,4.26,3.93
