|V|+|E|,gabow,kosaraju_nx,tarjan,tarjan_nx
3900,15.98,57.33,5.15,4.84
3500,12.74,68.55,4.16,4.38
3600,13.3,70.08,4.44,4.49
3800,14.45,73.65,4.31,4.73
4300,17.51,77.4,4.7,5.19
3700,13.47,91.36,3.79,4.5
4600,21.2,81.27,5.16,5.75
4100,16.04,95.16,4.32,5.02
4200,16.32,97.67,4.4,5.16
4000,15.32,103.89,4.44,4.86
4900,23.9,93.11,6.72,6.03
4400,19.03,122.31,5.42,5.54
3300,10.77,47.69,3.78,4.04
4500,20.0,127.2,5.59,5.52
4800,22.65,127.49,5.65,6.23
3400,10.8,65.95,3.36,4.12
2700,6.97,34.37,2.52,3.32
5000,24.13,132.21,6.2,6.5
3100,9.3,56.56,3.15,3.75
2600,6.79,33.6,2.67,3.15
2500,6.14,29.76,2.33,3.02
2800,7.96,40.78,2.9,3.47
3200,9.7,61.68,3.35,4.06
3000,8.69,53.54,3.01,3.57
4700,21.16,144.34,5.86,5.66
2400,5.93,37.58,2.33,2.92
2900,8.32,52.97,2.99,3.58
1400,2.22,7.48,1.2,1.66
1800,3.62,7.32,1.65,2.19
1300,1.91,10.17,1.07,1.51
1100,1.49,8.44,0.88,1.29
900,1.09,3.57,0.72,1.06
1000,1.26,7.62,0.82,1.17
300,0.23,0.84,0.24,0.34
700,0.72,3.69,0.56,0.83
100,0.06,0.28,0.09,0.12
600,0.59,3.87,0.49,0.71
200,0.14,0.82,0.16,0.23
400,0.32,2.11,0.31,0.47
500,0.46,2.63,0.42,0.59
800,0.86,6.1,0.65,0.94
1600,2.86,14.48,1.37,1.87
1500,2.5,15.27,1.26,1.75
1700,2.99,15.33,1.41,2.01
2100,4.49,24.71,1.99,2.48
1200,1.61,17.76,0.96,1.36
2200,5.1,26.42,2.26,2.64
2300,5.5,33.64,2.23,2.73
2000,4.09,25.99,1.86,2.41
1900,3.74,31.31,1.7,2.34
